frame_idx,byte_offset,B00,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,state,marker_ok
60,1293,06,66,00,60,80,66,E6,80,00,66,00,78,86,06,00,1E,00,00,60,F8,00,0
61,1313,06,66,00,60,80,66,E6,80,00,60,00,78,86,06,00,1E,00,00,1E,F8,00,0
62,1333,06,66,00,60,80,66,E6,80,00,1E,00,66,86,06,00,1E,00,00,06,F8,00,0
63,1353,06,66,00,60,80,66,E6,80,00,18,00,66,86,06,00,1E,00,00,00,F8,00,0
64,1373,06,66,00,60,80,66,E6,80,00,18,00,66,86,06,00,1E,00,00,00,F8,00,0
65,1393,06,66,00,60,80,66,E6,80,00,18,00,66,86,06,00,1E,00,00,00,F8,00,0
66,1413,06,66,00,60,80,66,E6,80,00,18,00,66,86,06,00,1E,00,00,00,F8,00,0
67,1433,06,66,00,60,80,66,E6,80,00,18,00,66,86,06,00,1E,00,00,00,F8,00,0
68,1453,06,66,00,60,80,66,E6,80,00,18,00,66,86,06,00,1E,00,00,00,F8,00,0
69,1473,06,66,00,60,80,66,E6,80,00,18,00,66,86,06,00,1E,00,00,00,F8,00,0
70,1493,06,66,00,60,80,66,E6,80,00,18,00,66,86,06,00,1E,00,00,00,F8,00,0
71,1513,06,66,00,60,80,66,E6,80,00,06,00,66,86,06,00,1E,00,00,FE,E0,00,0
72,1533,06,66,00,60,80,66,E6,80,00,06,00,66,86,06,00,1E,00,00,FE,E0,00,0
73,1553,06,66,00,60,80,66,E6,80,00,18,00,66,86,06,00,1E,00,00,00,F8,00,0
74,1573,06,66,00,60,80,66,E6,80,00,06,00,66,86,06,00,1E,00,00,FE,E0,00,0
75,1593,06,66,00,60,80,66,E6,80,00,18,00,66,86,06,00,1E,00,00,00,F8,00,0
76,1613,06,66,00,60,80,66,E6,80,00,06,00,66,86,06,00,1E,00,00,FE,E0,00,0
77,1633,06,66,00,60,80,66,E6,80,00,06,00,66,86,06,00,1E,00,00,FE,E0,00,0
78,1653,06,66,00,60,80,66,E6,80,00,06,00,60,86,06,00,1E,00,00,F8,E0,00,0
79,1673,06,66,00,60,80,66,E6,80,00,06,00,66,86,06,00,1E,00,00,FE,E0,00,0
80,1693,06,66,00,60,80,66,E6,80,00,06,00,60,86,06,00,1E,00,00,F8,E0,00,0
81,1713,06,66,00,60,80,66,E6,80,00,06,00,66,86,06,00,1E,00,00,FE,E0,00,0
82,1733,06,66,00,60,80,66,E6,80,00,06,00,66,86,06,00,1E,00,00,FE,E0,00,0
83,1753,06,66,00,60,80,66,E6,80,00,06,00,60,86,06,00,1E,00,00,F8,E0,00,0
84,1773,06,66,00,60,80,66,E6,80,00,00,00,60,86,06,00,1E,00,00,E6,E0,00,0
85,1793,06,66,00,60,80,66,E6,80,00,06,00,66,86,06,00,1E,00,00,FE,E0,00,0
86,1813,06,66,00,60,80,66,E6,80,00,00,00,60,86,06,00,1E,00,00,E6,E0,00,0
87,1833,06,66,00,60,80,66,E6,80,00,00,00,60,86,06,00,1E,00,00,E6,E0,00,0
88,1853,06,66,00,60,80,66,E6,80,00,00,00,60,86,06,00,1E,00,00,E6,E0,00,0
89,1873,06,66,00,60,80,66,E6,80,00,00,00,60,86,06,00,1E,00,00,E6,E0,00,0
90,1893,06,66,00,60,80,66,E6,80,00,00,00,60,86,06,00,1E,00,00,E6,E0,00,0
91,1913,06,66,00,60,80,66,E6,80,00,00,00,60,86,06,00,1E,00,00,E6,E0,00,0
92,1933,06,66,00,60,80,66,E6,80,00,00,00,60,86,06,00,1E,00,00,E6,E0,00,0
