frame_idx,byte_offset,B00,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,state,marker_ok
56,1666,06,66,00,60,80,66,E6,80,1E,FE,06,80,FE,60,00,1E,00,00,E6,98,1E,0
57,1686,06,66,00,60,80,66,E6,80,1E,86,E0,00,9E,FE,60,00,1E,00,00,98,1E,0
58,1714,06,66,00,60,80,66,E6,80,1E,E0,E0,00,E0,FE,60,00,1E,00,00,F8,1E,0
59,1749,06,66,00,60,80,66,E6,80,1E,80,E0,00,9E,FE,60,00,1E,00,00,86,1E,0
60,1784,06,66,00,60,80,66,E6,80,1E,86,E0,00,E0,FE,60,00,1E,00,00,9E,1E,0
61,1814,06,66,00,60,80,66,E6,80,1E,98,E0,00,E0,FE,60,00,1E,00,00,E0,1E,0
62,1835,06,66,00,60,80,66,E6,80,1E,F8,E0,00,E6,FE,60,00,1E,00,00,06,1E,0
63,1856,06,66,00,60,80,66,E6,80,1E,78,78,FE,FE,60,00,1E,00,00,9E,9E,1E,0
64,1897,06,66,00,60,80,66,E6,80,1E,FE,78,06,60,00,1E,00,00,78,FE,FE,1E,0
65,1939,06,66,00,60,80,66,E6,80,1E,06,1E,06,60,00,1E,00,00,80,FE,06,1E,0
66,1977,06,66,00,60,80,66,E6,80,1E,9E,E0,00,E6,FE,60,00,1E,00,00,F8,1E,0
67,1998,06,66,00,60,80,66,E6,80,1E,18,00,E0,FE,60,00,1E,00,00,60,E6,1E,0
68,2018,06,66,00,60,80,66,E6,80,1E,78,06,98,FE,60,00,1E,00,00,78,FE,1E,0
69,2038,06,66,00,60,80,66,E6,80,1E,F8,9E,00,80,FE,60,00,1E,00,00,E0,1E,0
70,2059,06,66,00,60,80,66,E6,80,1E,98,9E,00,78,60,00,1E,00,00,78,F8,1E,0
71,2079,06,66,00,60,80,66,E6,80,1E,18,06,60,60,00,1E,00,00,E0,86,06,1E,0
72,2117,06,66,00,60,80,66,E6,80,1E,E6,66,00,60,00,1E,00,00,1E,F8,06,1E,0
73,2155,06,66,00,60,80,66,E6,80,1E,7E,06,06,60,00,1E,00,00,F8,86,06,1E,0
74,2194,06,66,00,60,80,66,E6,80,1E,86,06,18,60,00,1E,00,00,06,FE,06,1E,0
75,2232,06,66,00,60,80,66,E6,80,1E,FE,06,18,60,00,1E,00,00,7E,FE,06,1E,0
