frame_idx,byte_offset,B00,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,state,marker_ok
0,0,06,66,00,60,80,66,E6,80,1E,9E,66,98,FE,60,00,1E,00,00,9E,86,1E,0
1,20,06,66,00,60,80,66,E6,80,1E,60,06,9E,FE,60,00,1E,00,00,66,F8,1E,0
2,40,06,66,00,60,80,66,E6,80,1E,00,06,F8,FE,60,00,1E,00,00,60,FE,1E,0
3,60,06,66,00,60,80,66,E6,80,1E,86,06,FE,FE,60,00,1E,00,00,F8,98,1E,0
4,80,06,66,00,60,80,66,E6,80,1E,1E,00,06,60,00,1E,00,00,98,E6,06,1E,0
5,119,06,66,00,60,80,66,E6,80,1E,86,E0,00,1E,60,00,1E,00,00,18,FE,1E,0
6,139,06,66,00,60,80,66,E6,80,1E,FE,06,00,60,00,1E,00,00,66,E6,06,1E,0
7,179,06,66,00,60,80,66,E6,80,1E,80,66,7E,60,00,1E,00,00,66,F8,06,1E,0
8,218,06,66,00,60,80,66,E6,80,1E,E6,98,00,60,60,00,1E,00,00,7E,E0,1E,0
9,238,06,66,00,60,80,66,E6,80,1E,FE,98,00,60,60,00,1E,00,00,86,E0,1E,0
10,258,06,66,00,60,80,66,E6,80,1E,66,06,00,60,00,1E,00,00,9E,80,06,1E,0
11,296,06,66,00,60,80,66,E6,80,1E,00,66,1E,60,00,1E,00,00,86,E0,06,1E,0
12,334,06,66,00,60,80,66,E6,80,1E,E6,9E,00,78,60,00,1E,00,00,86,F8,1E,0
13,354,06,66,00,60,80,66,E6,80,1E,FE,06,86,FE,60,00,1E,00,00,F8,98,1E,0
14,374,06,66,00,60,80,66,E6,80,1E,E0,E0,00,E6,FE,60,00,1E,00,00,FE,1E,0
15,395,06,66,00,60,80,66,E6,80,1E,86,E0,00,F8,FE,60,00,1E,00,00,E6,1E,0
16,416,06,66,00,60,80,66,E6,80,1E,60,00,F8,FE,60,00,1E,00,00,80,E6,1E,0
17,436,06,66,00,60,80,66,E6,80,1E,7E,00,FE,FE,60,00,1E,00,00,E0,E6,1E,0
18,456,06,66,00,60,80,66,E6,80,1E,78,00,00,60,00,1E,00,00,E0,E6,06,1E,0
19,495,06,66,00,60,80,66,E6,80,1E,78,06,F8,FE,60,00,1E,00,00,98,98,1E,0
20,515,06,66,00,60,80,66,E6,80,1E,1E,06,F8,FE,60,00,1E,00,00,7E,FE,1E,0
21,535,06,66,00,60,80,66,E6,80,1E,F8,9E,00,E6,FE,60,00,1E,00,00,06,1E,0
22,556,06,66,00,60,80,66,E6,80,1E,98,9E,00,E6,FE,60,00,1E,00,00,E6,1E,0
23,577,06,66,00,60,80,66,E6,80,1E,78,06,E6,FE,60,00,1E,00,00,86,F8,1E,0
24,606,06,66,00,60,80,66,E6,80,1E,66,06,E6,FE,60,00,1E,00,00,80,F8,1E,0
25,626,06,66,00,60,80,66,E6,80,1E,1E,06,E0,FE,60,00,1E,00,00,66,F8,1E,0
26,646,06,66,00,60,80,66,E6,80,1E,98,66,9E,FE,60,00,1E,00,00,9E,86,1E,0
27,666,06,66,00,60,80,66,E6,80,1E,80,66,86,FE,60,00,1E,00,00,7E,F8,1E,0
28,686,06,66,00,60,80,66,E6,80,1E,E6,66,E6,FE,60,00,1E,00,00,00,F8,1E,0
29,706,06,66,00,60,80,66,E6,80,1E,18,06,FE,FE,60,00,1E,00,00,7E,F8,1E,0
30,726,06,66,00,60,80,66,E6,80,1E,E0,9E,00,18,60,00,1E,00,00,60,FE,1E,0
31,746,06,66,00,60,80,66,E6,80,1E,66,00,86,60,00,1E,00,00,60,FE,06,1E,0
32,784,06,66,00,60,80,66,E6,80,1E,7E,7E,00,9E,80,60,00,1E,00,00,86,1E,0
33,805,06,66,00,60,80,66,E6,80,60,1E,98,00,00,18,00,00,1E,00,00,9E,60,0
34,826,06,66,00,60,80,66,E6,80,60,80,9E,00,7E,06,00,00,1E,00,00,7E,60,0
35,846,06,66,00,60,80,66,E6,80,66,80,9E,06,78,60,00,1E,00,00,7E,FE,66,0
36,866,06,66,00,60,80,66,E6,80,78,1E,66,60,60,00,1E,00,00,06,E0,06,78,0
37,906,06,66,00,60,80,66,E6,80,80,80,78,1E,00,F8,F8,60,00,1E,00,00,80,0
38,928,06,66,00,60,80,66,E6,80,80,80,9E,7E,00,F8,E0,60,00,1E,00,00,80,0
39,964,06,66,00,60,80,66,E6,80,78,E6,06,98,FE,1E,00,1E,00,00,00,FE,78,0
40,1005,06,66,00,60,80,66,E6,80,86,80,E0,98,18,78,7E,00,00,1E,00,00,86,0
41,1027,06,66,00,60,80,66,E6,80,9E,80,66,9E,00,86,80,1E,00,1E,00,00,9E,0
42,1049,06,66,00,60,80,66,E6,80,98,80,06,78,00,E6,E0,1E,00,1E,00,00,98,0
43,1071,06,66,00,60,80,66,E6,80,86,80,F8,78,00,86,98,00,00,1E,00,00,86,0
